objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804562586,6162,301,3,133,1178,3,258.2013353,64.03865701,23.14319,21.18533,20.42556,20.24924,19.9673,0.7594354,0.05552673,0.04065487,0.05001513,0.1528033,1.95786,0.75977,,,,,,,
1237671939804562561,6162,301,3,133,1153,3,258.1834063,64.04166772,23.0259,22.12181,21.72428,21.26509,21.52804,0.6865945,0.1205204,0.1297268,0.1300342,0.5823805,0.90409,0.39753,,,,,,,
1237671939804562883,6162,301,3,133,1475,3,258.2171446,64.04157167,24.88101,23.04739,22.11278,21.98072,21.81904,1.150033,0.2116236,0.1310407,0.1692533,0.5214107,1.83362,0.93461,,,,,,,
1237671939804561484,6162,301,3,133,76,3,258.1816362,64.05353954,19.58479,17.71295,16.78555,16.3432,16.07186,0.05082011,0.005918154,0.004367802,0.004220489,0.008886102,1.87184,0.9274,,,,,,,
1237671939804562564,6162,301,3,133,1156,3,258.1838198,64.04744277,23.63052,22.80722,22.41304,21.83803,21.36066,0.7305555,0.153442,0.1481755,0.1292081,0.3163441,0.8233,0.39418,,,,,,,
1237671939804627013,6162,301,3,134,69,3,258.2765527,64.04961267,25.29317,23.11523,22.22871,21.8889,21.81125,1.12505,0.2533948,0.168966,0.1836683,0.6109393,2.17794,0.88652,,,,,,,
1237671939804561650,6162,301,3,133,242,3,258.2365537,64.05313963,23.28469,21.0124,20.06925,19.47815,19.19583,0.6640752,0.0388976,0.02434414,0.02131083,0.06029226,2.27229,0.94315,,,,,,,
1237671939804561671,6162,301,3,133,263,3,258.2496885,64.05684783,24.25339,23.92522,23.53014,23.252,22.63245,1.009766,0.3888159,0.3796362,0.4244276,0.6514195,0.32817,0.39508,,,,,,,
1237671939804561675,6162,301,3,133,267,3,258.2450327,64.05462428,24.53901,23.72169,23.79521,23.36719,23.57578,1.154534,0.3561555,0.4898637,0.4849004,0.5636305,0.81732,-0.07352,,,,,,,
1237671939804561661,6162,301,3,133,253,3,258.2425098,64.05628833,25.03272,22.70712,21.64545,21.65833,21.93927,1.238637,0.1741046,0.09858681,0.1556744,0.6357347,2.3256,1.06167,,,,,,,
1237671939804561653,6162,301,3,133,245,3,258.24691,64.04395797,23.40418,21.8134,20.62508,20.23922,20.42656,0.7475816,0.08149798,0.04027578,0.04090009,0.1827625,1.59078,1.18832,,,,,,,
1237671939804561648,6162,301,3,133,240,3,258.2534905,64.047341,20.95126,18.6745,18.35544,17.78956,17.55147,0.2535219,0.01717238,0.0183565,0.01494879,0.04249194,2.27676,0.31906,,,,,,,
1237671939804561672,6162,301,3,133,264,3,258.2533175,64.04447721,25.36878,25.04022,23.14082,24.3496,23.67862,1.036976,0.7643666,0.3773892,0.8383507,0.6379057,0.32856,1.8994,,,,,,,
1237671939804561663,6162,301,3,133,255,3,258.2452394,64.04797542,24.55019,25.17683,23.5325,22.36546,22.54073,1.065395,0.6245656,0.3757171,0.2035332,0.6281456,-0.62664,1.64433,,,,,,,
